company_fyi,ticker,period,announcement_date,listing_region,industry,ai_mentioned,layoff_count,layoff_pct,CAR_1_1,CAR_0_1,CAR_0_5,CAR_0_20,CAR_5_60,alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs
Synopsys,SNPS,post_genai,2023-01-27,US,Other,0,100.0,,0.0006344873998558155,-0.01056601568465763,-0.023419932365903586,0.014909713418174899,-0.09340998602262024,0.001001511031355564,1.078010545722269,0.7245706478666134,250
Synopsys,SNPS,post_genai,2025-11-12,US,Other,0,2000.0,10%,0.01194396729902495,0.026791611794594827,0.020107386161425628,0.15401338095769282,0.026643212179487265,0.00037772651659583175,1.157697529647764,0.4149081243298991,250
SoFi,SOFI,post_genai,2023-01-30,US,Finance,0,,,0.16282771117889905,0.16206793795226695,0.15203934730996657,0.1669794040791716,0.20920268898559494,-0.0020187153545674465,1.0663480230261517,0.5686364206301626,250
SoFi,SOFI,post_genai,2024-01-10,US,Finance,0,,4%,-0.027326946670480457,-0.012958103899327646,-0.08758207195641854,-0.04963733007369813,-0.22858595790634134,0.0016763794726167463,1.6712359753678956,0.3718111932537389,250
Sonder,SONDQ,post_genai,2023-03-01,US,Travel,0,100.0,14%,-0.16446539086949355,-0.1326085807172929,0.17562802218048038,0.08133193951310043,0.16294340025837334,-0.004335848391183227,1.7959559355474832,0.2725446020973161,250
Sonder,SONDQ,post_genai,2024-02-15,US,Travel,0,106.0,17%,0.07183714396733878,0.21699646244176182,0.7132567286309311,1.1358638315713423,1.3320486753845007,-0.007471183315204928,1.9749890235752559,0.1357300841841501,250
Sonder,SONDQ,post_genai,2025-04-14,US,Travel,0,,,0.1682323860714095,0.1465048847665553,0.06542906317052882,-0.08377265517382886,0.46238068295420687,0.00035169458135211494,0.3860252961127574,0.04621720035003907,250
Sonos,SONO,pre_genai,2020-06-24,US,Consumer,0,174.0,12%,0.004512838834149281,0.008464218378397746,0.052816655402204024,0.15806582334574218,0.06511908004199543,0.0006238859300336452,0.7453662168165882,0.2539231795724647,250
Sonos,SONO,post_genai,2023-06-14,US,Consumer,0,130.0,7%,-0.00866663561359141,-0.01454917709878753,-0.022656360976406137,0.041855716130877046,-0.18594869313524406,-0.00026279267490891063,0.6986800355798664,0.49844327622516615,250
Sonos,SONO,post_genai,2024-08-14,US,Consumer,0,100.0,6%,-0.016758554635996563,-0.019438415638063512,-0.0638948076710768,-0.02217088521010612,0.05665735891972289,-0.0018774391818291375,1.2394121522378019,0.33605027096805806,250
