alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs,CAR_1_1,CAR_0_5,CAR_0_20,CAR_5_60,CAR_5_30,event_id,ticker,company_fyi,announcement_date,ai_mentioned,post_chatgpt,period,listing_region,industry,layoff_count,layoff_pct
-0.002585221488216968,0.9191065584754374,0.29287874705448447,250,0.04903031829491575,0.17723735676630972,0.07513449013483092,-0.08405390398927978,-0.08405390398927978,CUE_2023-01-05,CUE,Cue,2023-01-05,0,1,post_genai,US,Healthcare,388.0,
-0.0023663250682385588,1.8304228679113361,0.44494890257446185,250,-0.2277762516368962,0.05713473037653263,-0.3714763065225338,-0.31412652021251947,-0.31412652021251947,CVNA_2022-05-10,CVNA,Carvana,2022-05-10,0,0,pre_genai,US,Transportation,2500.0,12%
-0.00448029817781251,1.8198676190092766,0.5597740290208452,250,-0.035074384960168944,0.027030730309907373,-0.13030733010878695,-0.07991693479648723,-0.07991693479648723,CVNA_2022-11-18,CVNA,Carvana,2022-11-18,0,0,pre_genai,US,Transportation,1500.0,8%
0.0007307434734799049,0.9367486310581223,0.5127451503251196,250,0.019207197622710625,0.024455655301736278,-0.07470147770121344,0.20158644150471236,0.20158644150471236,CXM_2023-02-15,CXM,Sprinklr,2023-02-15,0,1,post_genai,US,Support,100.0,4%
-0.0004599139689707294,0.9797562257624046,0.1414160152280608,250,-0.00421954647583209,0.006049910941378847,-0.11300107277766704,-0.3534702107530582,-0.3534702107530582,CXM_2024-05-03,CXM,Sprinklr,2024-05-03,0,1,post_genai,US,Support,116.0,3%
-0.002022487135890869,1.075905277747274,0.2845596456016799,250,-0.014116825647572401,0.04521591389238662,0.10689292483104908,0.1666681504769209,0.1666681504769209,CXM_2025-02-06,CXM,Sprinklr,2025-02-06,0,1,post_genai,US,Support,500.0,15%
-0.008828019169701638,0.2768230512198845,0.04723480024797577,250,-0.24002768957292708,-0.30287472832902335,-0.5063134470907096,-0.37139631194516914,-0.37139631194516914,CZOOF_2023-01-18,CZOOF,Cazoo,2023-01-18,0,1,post_genai,US,Transportation,,
-0.0012088818569691915,1.287005714906165,0.6175750314610274,250,-0.03466099865844433,-0.013517127279156417,0.018942913731335782,-0.10460441121128343,-0.10460441121128343,DASH_2022-11-30,DASH,DoorDash,2022-11-30,0,1,pre_genai,US,Food,1250.0,6%
-0.0005869232177277861,1.3470678381093082,0.25573651115593654,250,-0.005227942783442199,-0.053442698718866255,0.03403043413551788,0.02751335037760353,0.02751335037760353,DAY_2025-02-26,DAY,Dayforce,2025-02-26,0,1,post_genai,US,HR,,5%
-0.0005059833687187817,0.9342142776166736,0.33821401659734707,250,-0.025746868784586825,-0.09490557692993737,-0.049853607529545776,0.040634340600454746,0.040634340600454746,DBX_2021-01-13,DBX,Dropbox,2021-01-13,0,0,pre_genai,US,Other,315.0,15%
2.7743719756954228e-05,0.8779854461978739,0.5991234067933755,250,-0.05905777888944606,-0.06526382098103561,0.04575824091723946,0.041582127081711405,0.041582127081711405,DBX_2023-04-27,DBX,Dropbox,2023-04-27,0,1,post_genai,US,Other,500.0,16%
-0.0008253122855643928,0.6709503797124499,0.1453925755652482,250,0.046117640962943476,0.05217799872009563,0.058383198232726724,0.12553276314582937,0.12553276314582937,DBX_2024-10-30,DBX,Dropbox,2024-10-30,0,1,post_genai,US,Other,527.0,20%
-0.0007159860651621079,1.259455654162141,0.4696939348223965,250,-0.0031539977221315876,0.035646471899265286,-0.03954498539480657,0.06368447429694259,0.06368447429694259,DELL_2023-02-06,DELL,Dell,2023-02-06,0,1,post_genai,US,Hardware,6650.0,5%
0.0003828060528711366,1.458810362873008,0.5282863415604935,250,0.0731460697388418,0.06380244606372437,0.26174195176050774,0.34415167814544956,0.34415167814544956,DELL_2023-08-07,DELL,Dell,2023-08-07,0,1,post_genai,US,Hardware,,
0.003442617526184525,1.3627426806943164,0.1584854378197338,250,0.0033057537522260365,0.05188861237119328,0.06212557350061427,0.03774750808524829,0.03774750808524829,DELL_2024-03-25,DELL,Dell,2024-03-25,1,1,post_genai,US,Hardware,6000.0,5%
-0.00034895179103568846,0.8358461981359774,0.4059780796225523,250,-0.02167959980547933,-0.12136825728625053,-0.06323822782202979,-0.11831236020040818,-0.11831236020040818,DH_2023-01-12,DH,Definitive Healthcare,2023-01-12,0,1,post_genai,US,Healthcare,55.0,6%
