company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30
Lightspeed Commerce,LSPD.TO,2023-01-17,0,0,0,1,2.06337928863011,-8.502230481747821,-18.90738287887388
Lightspeed Commerce,LSPD.TO,2024-04-03,0,0,0,1,1.9408137663467802,6.871949692974989,-5.06516114318423
Latch,LTCH,2022-05-10,0,0,1,0,-12.65261200724944,-45.619149698511066,-48.81887068243653
Latch,LTCH,2023-07-10,0,0,0,1,4.03062340369427,-8.35482734600905,-29.655324289131542
Lucid Diagnostics,LUCD,2023-01-18,0,0,0,1,4.85941845252587,-16.47136011150939,6.95638767052172
Lyft,LYFT,2020-04-29,0,0,0,0,-7.3580277678605,-12.258050220333141,4.62226098318846
Lyft,LYFT,2022-07-20,0,0,0,0,-7.6073894144741905,18.75953049125096,20.27803680303395
Lyft,LYFT,2024-09-04,0,0,0,1,3.7448723766638903,3.77075760821533,8.37153379873898
LegalZoom,LZ,2023-10-19,0,0,0,1,-0.43594304472465,2.0783941833001403,1.0688781387628001
LegalZoom,LZ,2024-08-07,0,0,0,1,-2.34964445445778,14.494086710879762,6.79176005894875
Mobileye,MBLY,2024-09-09,0,0,1,1,-13.13289916880653,10.71352262749486,6.4373897343219495
Mobileye,MBLY,2025-12-08,0,0,0,1,-3.19699745300079,6.93540462979519,-14.018559720224449
Medtronic,MDT,2023-04-12,0,0,0,1,1.29304516691858,13.74958554361963,13.68180979505505
Medtronic,MDT,2024-06-13,0,0,0,1,-1.15131257631219,-7.26214254885702,-1.9701396636881499
Medtronic,MDT,2025-10-27,0,0,0,1,-1.15335189422729,10.35900590138127,1.50860972291541
Meta,META,2022-11-09,0,0,1,0,6.32040751678576,13.59350939727647,30.588821988406178
Meta,META,2023-10-04,0,0,0,1,-0.67584927131408,0.68662328353438,-0.87600170789272
Meta,META,2024-10-16,0,0,0,1,-1.3142177375468,-7.26367024883881,-12.85878452361507
Meta,META,2025-10-22,1,1,1,1,0.39042628020509,-18.95224901013539,-9.42898972940766
Magnite,MGNI,2023-01-19,0,0,0,1,0.9503868814709301,7.39806599573281,-31.54100089940975
MakeMyTrip,MMYT,2020-06-01,0,0,0,0,2.08785083218806,0.6390711143751701,-3.1742095637400403
Megaport,MP1.AX,2023-01-05,0,0,0,1,1.43653305768744,-5.17323259445789,5.492057031984579
Marqeta,MQ,2023-05-09,0,0,0,1,-0.5002706563188299,-3.88735144052557,16.053103324654288
Marvell,MRVL,2023-03-21,0,0,0,1,0.63566384480806,-3.11746559685591,-0.32155563126752
Microsoft,MSFT,2022-07-12,0,0,0,0,-2.6531661126236403,-0.39024548228871997,-3.91517639086131
Microsoft,MSFT,2024-01-25,0,0,0,1,0.6391320338039199,-7.501532310104079,-8.54894430879399
Match Group,MTCH,2023-02-01,0,0,0,1,-10.98403999918092,-18.82200967250133,-29.37877567835578
Match Group,MTCH,2024-07-31,0,1,1,1,14.827936141852268,16.646359514286992,11.38173579854856
Match Group,MTCH,2025-05-08,0,0,0,1,-12.19830327664211,-1.47959432022142,-2.71114486874885
Micron,MU,2023-01-01,0,0,0,1,0.03961336284768,6.24164428821017,8.305498218368939
Micron,MU,2025-08-12,0,0,0,1,0.8474614914290499,8.13429199102616,34.200265126305055
NCC Group,NCC.L,2023-08-10,0,0,0,1,3.67825903935629,5.73487335567177,17.853480130836168
nCino,NCNO,2023-01-18,0,0,0,1,-1.25488527492764,-8.34456510854328,-21.79828647721478
nCino,NCNO,2025-05-27,0,0,1,1,-0.04585834099735,-3.49237690165179,12.0340758817145
Cloudflare,NET,2024-01-11,0,0,0,1,-3.8599231993194,18.292822900649288,10.309870558431191
Netflix,NFLX,2022-04-28,0,0,0,0,-1.4783489063067101,13.44469057125963,6.75718664451148
NIO,NIO,2023-11-03,0,0,0,1,0.97999311804566,-15.59071758646676,-7.80231354931683
Presto,NPK,2023-11-20,0,0,1,1,-2.6208507236953,-6.76466102613458,-7.90247845119543
NerdWallet,NRDS,2024-07-30,0,0,0,1,-8.470137756086379,-24.51379487040871,-22.41978061758386
Nerdy,NRDY,2022-12-08,0,0,0,1,-0.25897168243018004,20.8979698327718,21.465583495413938
NetApp,NTAP,2023-01-31,0,0,0,1,0.59600202085722,0.57153636154381,0.9760437101831001
NetApp,NTAP,2025-04-30,0,0,1,1,0.38914251191941,6.02088833379126,7.666520643294749
NetEase,NTES,2025-02-22,0,0,0,1,-4.6183577144741,3.57134437281949,9.24034063777841
Nutanix,NTNX,2022-08-09,0,0,0,0,1.2253212737671901,44.108310326650866,56.40279436722913
Natera,NTRA,2022-11-22,0,0,0,0,4.69011467879303,21.09735421307221,15.89298980829564
Nextdoor,NXDR,2023-11-07,0,0,0,1,-16.21669553099242,-7.55002313851508,0.6497259490355
Nextdoor,NXDR,2025-08-07,0,0,0,1,20.140665179310062,16.53156215547142,24.68249424980482
Nayax,NYAX,2025-07-07,0,0,0,1,-15.48650079708339,-18.82471093041537,-16.07406144506165
Ocado,OCDO.L,2023-12-31,0,0,0,1,-2.90584782440838,-19.2245497028514,-23.666459991217632
Okta,OKTA,2022-08-26,1,1,1,0,0.49813422754008,-25.105803220648088,-18.87032074005116
Okta,OKTA,2024-02-01,0,0,0,1,-3.48678351496957,21.479663523125268,20.872996876947568
Okta,OKTA,2025-02-04,0,0,0,1,2.48722297346064,34.13777282215677,39.98613217913077
Offerpad,OPAD,2022-11-11,0,0,0,0,10.136746276052131,2.90110206253807,-14.87054776529774
Opendoor,OPEN,2022-11-02,0,0,0,0,4.14279770663977,-12.36638286210596,-30.73013667164439
Opendoor,OPEN,2024-11-07,0,0,0,1,-19.66742346365784,24.06088511403364,-3.03688814801118
