company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30,beta_mkt_ff4,listing_region,layoff_count,layoff_pct,industry,event_sequence,is_first_event
Just Eat Takeaway,JTKWY,2022-07-20,0,0,0,0,4.05250387695726,11.29242954872961,28.95610518426256,1.1802563067039973,US,390.0,,Food,1,1
Kyndryl,KD,2023-03-30,0,0,0,1,-0.0042434111470261,-0.21148059371816,7.734771412437929,1.0479188120041651,US,,,Infrastructure,1,1
Kaltura,KLTR,2022-08-09,0,0,0,0,-3.60080054257573,-0.1180418980148099,12.55579366641586,0.9940523368589448,US,,10%,Media,1,1
CS Disco,LAW,2023-01-19,0,0,0,1,5.02776841990338,13.753001051493191,3.49730174907837,1.254842890906724,US,62.0,9%,Legal,1,1
Luminar,LAZRQ,2024-05-03,0,0,0,1,7.40200985363819,15.22794919823379,18.53263192784155,2.195408586525649,US,140.0,20%,Transportation,1,1
Lemonade,LMND,2022-04-20,0,0,0,0,-3.8341486641750704,26.84772945975571,23.079402091773225,1.5123904374929715,US,52.0,,Finance,1,1
Logitech,LOGI,2023-03-22,0,0,0,1,0.53372815881429,4.43297264718754,16.35628326920545,1.0234614215353932,US,300.0,,Hardware,1,1
LivePerson,LPSN,2020-11-01,0,0,1,0,-4.71493726569464,-14.01936741019562,-16.99438887546357,1.0183413486366537,US,30.0,,Support,1,1
Lam Research,LRCX,2023-01-25,0,0,0,1,0.18786574192687,-1.82138122772574,6.11417060355907,1.6237155078745311,US,1300.0,7%,Hardware,1,1
Lightspeed Commerce,LSPD.TO,2023-01-17,0,0,0,1,2.06337928863011,-8.502230481747821,-18.90738287887388,1.4211361174404504,US,300.0,10%,Retail,1,1
Latch,LTCH,2022-05-10,0,0,1,0,-12.65261200724944,-45.619149698511066,-48.81887068243653,0.8955484897113197,US,30.0,6%,Security,1,1
Lucid Diagnostics,LUCD,2023-01-18,0,0,0,1,4.85941845252587,-16.47136011150939,6.95638767052172,0.5265740893663788,US,,20%,Healthcare,1,1
Lyft,LYFT,2020-04-29,0,0,0,0,-7.3580277678605,-12.25805022033314,4.62226098318846,1.0768066322219083,US,982.0,17%,Transportation,1,1
LegalZoom,LZ,2023-10-19,0,0,0,1,-0.43594304472465,2.0783941833001403,1.0688781387628,1.2131266991765763,US,100.0,,Legal,1,1
Mobileye,MBLY,2024-09-09,0,0,1,1,-13.13289916880653,10.71352262749486,6.4373897343219495,0.996064753810536,US,100.0,,Transportation,1,1
Medtronic,MDT,2023-04-12,0,0,0,1,1.29304516691858,13.74958554361963,13.68180979505505,0.6676857344602805,US,59.0,,Healthcare,1,1
Meta,META,2022-11-09,0,0,1,0,6.32040751678576,13.59350939727647,30.588821988406178,1.2177968154995304,US,11000.0,13%,Consumer,1,1
Magnite,MGNI,2023-01-19,0,0,0,1,0.95038688147093,7.39806599573281,-31.54100089940975,1.4989283074955333,US,,6%,Marketing,1,1
MakeMyTrip,MMYT,2020-06-01,0,0,0,0,2.08785083218806,0.6390711143751701,-3.1742095637400403,0.7565459795984082,US,350.0,10%,Travel,1,1
Marqeta,MQ,2023-05-09,0,0,0,1,-0.5002706563188299,-3.88735144052557,16.053103324654288,1.113790159216497,US,,15%,Finance,1,1
Marvell,MRVL,2023-03-21,0,0,0,1,0.63566384480806,-3.11746559685591,-0.32155563126752,1.6877536924700216,US,320.0,4%,Hardware,1,1
Microsoft,MSFT,2022-07-12,0,0,0,0,-2.6531661126236403,-0.3902454822887199,-3.91517639086131,1.033700013706606,US,,,Other,1,1
Match Group,MTCH,2023-02-01,0,0,0,1,-10.98403999918092,-18.82200967250133,-29.37877567835578,1.1161717775583675,US,,8%,Consumer,1,1
Micron,MU,2023-01-01,0,0,0,1,0.03961336284768,6.24164428821017,8.305498218368939,1.3550665010492424,US,4800.0,10%,Hardware,1,1
nCino,NCNO,2023-01-18,0,0,0,1,-1.25488527492764,-8.34456510854328,-21.79828647721478,0.9960411736807512,US,100.0,7%,Finance,1,1
Cloudflare,NET,2024-01-11,0,0,0,1,-3.8599231993194,18.292822900649288,10.309870558431191,2.262322398042708,US,40.0,,Security,1,1
Netflix,NFLX,2022-04-28,0,0,0,0,-1.47834890630671,13.44469057125963,6.75718664451148,0.9545093176404422,US,25.0,,Media,1,1
NIO,NIO,2023-11-03,0,0,0,1,0.97999311804566,-15.59071758646676,-7.80231354931683,1.2238647501839406,US,,10%,Transportation,1,1
Presto,NPK,2023-11-20,0,0,1,1,-2.6208507236953,-6.76466102613458,-7.90247845119543,0.6159083682895918,US,,17%,Food,1,1
NerdWallet,NRDS,2024-07-30,0,0,0,1,-8.470137756086379,-24.51379487040871,-22.41978061758386,1.3000738457566907,US,,15%,Finance,1,1
Nerdy,NRDY,2022-12-08,0,0,0,1,-0.25897168243018,20.8979698327718,21.465583495413934,1.1314540568283085,US,,17%,Education,1,1
