event_id,ticker,company_x,event_dt,CAR_CAPM_short_term,CAR_FF4_short_term,percentage_laid_off,funds_raised,ai_mentioned,company_y,prior_6m_return,n_pre,layoff_pct,funds_raised_num,log_funds_raised,year
MBLY_2025-12-08,MBLY,Mobileye,2025-12-08,-0.029728572729269,-0.0305241327060691,0.04,2100.0,1,Mobileye,-0.3456678600344064,126,0.04,2100.0,7.649692623711514,2025
META_2023-02-24,META,Meta,2023-02-24,0.2582337607977092,0.2577946350159694,0.13,26000.0,1,Meta,-0.05497340160069031,126,0.13,26000.0,10.165851817003619,2023
MS_2024-09-30,MS,Marin Software,2024-09-30,0.1040863654477458,0.1220921406841637,0.26,99.0,0,Marin Software,0.11105776401981982,126,0.26,99.0,4.59511985013459,2024
MS_2025-04-10,MS,Marin Software,2025-04-10,0.1040863654477458,0.1220921406841637,1.0,99.0,0,Marin Software,0.009640422892242206,126,1.0,99.0,4.59511985013459,2025
MTCH_2023-02-01,MTCH,Match Group,2023-02-01,0.0404366336248331,-0.0017238497441494,0.08,,0,Match Group,-0.3328679586666158,126,0.08,,0.0,2023
MTCH_2024-07-31,MTCH,Match Group,2024-07-31,0.0404366336248331,-0.0017238497441494,0.06,,1,Match Group,-0.1461169032334262,126,0.06,,0.0,2024
MTCH_2025-05-08,MTCH,Match Group,2025-05-08,0.0404366336248331,-0.0017238497441494,0.13,,1,Match,-0.19850083445104605,126,0.13,,0.0,2025
MU_2023-01-02,MU,Micron,2023-01-02,0.1711541057105571,0.1495869829650781,0.1,50.0,0,Micron,-0.10402644944396222,126,0.1,50.0,3.912023005428146,2023
NCC.L_2023-02-02,NCC.L,NCC Group,2023-02-02,0.0946809349559013,0.1002594177598922,0.07,,0,NCC Group,-0.18078076767690832,123,0.07,,0.0,2023
NCNO_2023-01-18,NCNO,nCino,2023-01-18,0.0869364228183981,0.0671848316871406,0.07,1100.0,1,nCino,-0.14672951564436976,126,0.07,1100.0,7.003065458786462,2023
NCNO_2025-05-27,NCNO,nCino,2025-05-27,0.0869364228183981,0.0671848316871406,0.07,1100.0,1,nCino,-0.3866380761800996,126,0.07,1100.0,7.003065458786462,2025
NTAP_2023-01-31,NTAP,NetApp,2023-01-31,0.0813956829652632,0.0774325766742155,0.08,,1,NetApp,-0.09024010222836987,126,0.08,,0.0,2023
NXDR_2023-11-07,NXDR,Nextdoor,2023-11-07,0.0911053894905883,0.1176652228810069,0.25,736.0,0,Nextdoor,-0.2092700992404808,126,0.25,736.0,6.601230118728877,2023
NXDR_2025-08-07,NXDR,Nextdoor,2025-08-07,0.0911053894905883,0.1176652228810069,0.12,736.0,0,Nextdoor,-0.4270300850152179,126,0.12,736.0,6.601230118728877,2025
OCDO.L_2026-02-26,OCDO.L,Ocado,2026-02-26,0.0195038831425032,0.0317997517732101,0.05,2000.0,0,Ocado,-0.3154056315801447,122,0.05,2000.0,7.600902459542082,2026
OKTA_2024-02-01,OKTA,Okta,2024-02-01,0.1046338152868979,0.1052301195229077,0.07,1200.0,1,Okta,0.027917585566863412,126,0.07,1200.0,7.090076835776092,2024
OKTA_2025-02-04,OKTA,Okta,2025-02-04,0.1046338152868979,0.1052301195229077,0.03,1200.0,1,Okta,-0.024195803179155817,126,0.03,1200.0,7.090076835776092,2025
OLOX_2023-06-14,OLOX,Olo,2023-06-14,0.1895736441120724,0.2013431060279701,0.11,184.0,1,Olo,-0.38614609528526267,126,0.11,184.0,5.214935757608986,2023
OLOX_2024-09-23,OLOX,Olo,2024-09-23,0.1895736441120724,0.2013431060279701,0.09,184.0,0,Olo,-0.8915163492683834,126,0.09,184.0,5.214935757608986,2024
OPEN_2022-11-02,OPEN,Opendoor,2022-11-02,-0.0357294326659847,-0.0668198088424743,0.18,1900.0,0,Opendoor,-0.7623788363683854,126,0.18,1900.0,7.549609165154532,2022
OPEN_2024-11-07,OPEN,Opendoor,2024-11-07,-0.0357294326659847,-0.0668198088424743,0.17,1900.0,0,Opendoor,-0.2832673504475711,126,0.17,1900.0,7.549609165154532,2024
OPRT_2023-02-09,OPRT,Oportun,2023-02-09,-0.8937104163208832,-0.8089561686524422,0.1,566.0,0,Oportun,-0.16901398722214445,126,0.1,566.0,6.338594078203183,2023
OPRT_2023-11-07,OPRT,Oportun,2023-11-07,-0.8937104163208832,-0.8089561686524422,0.07,766.0,1,Oportun,0.1840435783365837,126,0.07,766.0,6.641182169740591,2023
OTEX_2023-01-31,OTEX,OpenText,2023-01-31,0.1688812320072989,0.167772238149558,0.08,1100.0,1,OpenText,-0.20989761047332267,126,0.08,1100.0,7.003065458786462,2023
OTEX_2024-07-03,OTEX,OpenText,2024-07-03,0.1688812320072989,0.167772238149558,0.02,1100.0,0,OpenText,-0.28102381302823043,126,0.02,1100.0,7.003065458786462,2024
PAGS_2023-01-16,PAGS,PagBank,2023-01-16,0.1419031181603189,0.1469074313697157,0.07,,1,PagBank,-0.2305233448708498,126,0.07,,0.0,2023
PAGS_2023-01-25,PAGS,PagSeguro,2023-01-25,0.1419031181603189,0.1469074313697157,0.07,,1,PagSeguro,-0.2774505415506817,126,0.07,,0.0,2023
PATH_2022-06-27,PATH,UiPath,2022-06-27,-0.0940533306076525,-0.0682351657451131,0.05,2000.0,1,UiPath,-0.6003272797312391,126,0.05,2000.0,7.600902459542082,2022
PATH_2024-07-09,PATH,UIPath,2024-07-09,-0.0940533306076525,-0.0682351657451131,0.1,2000.0,1,UIPath,-0.5162661868607048,126,0.1,2000.0,7.600902459542082,2024
