ticker,announcement_date,prior_6m_return
ORCL,2022-08-01,-0.1922280011338915
ORCL,2025-08-13,0.5883944656626079
OTLY,2022-11-15,-0.4021739006493159
OTOVO.OL,2024-02-08,-0.7333339417596085
OUST,2022-09-20,-0.5376712449564649
OWLT,2022-07-22,-0.3022388063495167
PAGS,2023-01-25,-0.1093901099146739
PATH,2022-06-27,-0.5719974749917831
PATH,2024-07-09,-0.5445544579625357
PAYC,2025-10-01,-0.009426816056448017
PAYO,2023-06-26,-0.1518026932884733
PAYO,2025-12-08,-0.216884977574768
PCOR,2024-01-30,-0.04062673590669508
PD,2023-01-24,-0.14881378271253598
PEGA,2023-01-03,-0.16960978044654118
PEGA,2023-08-31,0.1872788113957955
PERI,2022-08-08,-0.01497165219218477
PERI,2024-06-25,-0.5505290126447249
PGY,2023-01-18,-0.692307693824638
PGY,2024-06-05,-0.23974363034214818
PHG,2022-10-24,-0.49203589239827006
PHUN,2023-07-20,-0.3221216111622459
PI,2024-02-13,0.5300595887529171
PINS,2022-11-30,0.13634250052964836
PL,2023-08-01,-0.32347141013345604
PL,2024-06-26,-0.19455253423649033
PLTK,2022-05-31,-0.4054289928658229
PLTK,2022-12-09,-0.3335684183568358
PLTK,2024-01-11,-0.2715007158189071
PLTK,2025-06-05,-0.4191390160768028
PLTR,2023-02-27,-0.17101150336062998
PLTR,2025-03-27,1.417630208522835
PSNL,2023-01-19,-0.46112601067424774
PSTG,2024-02-08,0.08288146456010659
PTON,2022-02-08,-0.7578252444525032
PTON,2022-08-12,-0.6230303061128848
PTON,2023-07-13,-0.18566775581588424
PTON,2024-05-02,-0.4011627896231337
PTON,2025-08-07,-0.19786726095795837
PUBM,2024-10-07,-0.38863155967310625
PYPL,2022-05-23,-0.6420997605243535
PYPL,2023-01-31,0.07536186643149678
PYPL,2024-01-30,-0.15395288421798048
QCOM,2022-12-22,-0.139095979629555
QSI,2023-01-30,-0.22142853432771759
QTRX,2022-08-09,-0.38970052605345495
RAMP,2022-11-03,-0.5084511029062393
RAMP,2025-03-05,0.4354086621577571
RBLX,2023-09-22,-0.30374844067900897
RBOT,2023-02-15,-0.33086417241351396
REAL,2023-02-16,-0.18410043427094103
REE,2023-02-09,-0.542477889948126
RENT,2024-01-09,-0.6699029094751049
RGTI,2023-02-10,-0.8069212400451705
RIVN,2023-02-01,-0.4676100405233603
RIVN,2023-12-07,0.10704228719580389
RIVN,2025-06-26,0.16693674558102978
RKT,2025-07-18,0.387086989234245
RNG,2022-08-04,-0.6513684752841353
ROKU,2022-11-17,-0.5062267190254441
RPD,2023-08-08,0.3179632861001531
RSKD,2024-02-13,-0.004184096244484015
RSKD,2025-02-19,-0.15296050000141015
S,2023-06-01,-0.046719129936601544
SABR,2023-05-04,-0.30535711229455453
SAP,2023-01-26,0.3134917401030686
SAP,2024-01-23,0.12449358349967588
SATL,2024-05-24,0.8540668725593603
SBIG,2022-12-01,-0.7985901371062847
SEDG,2024-01-21,-0.6753959445766413
SFIX,2020-06-01,-0.08946134956839424
SFIX,2022-06-09,-0.7514917521732147
SFIX,2023-01-05,-0.47440275537009213
