ticker,funds_raised,log_funds_raised
XYZ,150.0,5.017279836814924
BA,352.0,5.8664680569332965
BT,,
BKNG,2800.0,7.937731775260109
BKG,23.0,3.1780538303479458
BOOZT.ST,56.0,4.04305126783455
BOXD,365.0,5.902633333401366
BCOV,145.0,4.983606621708336
AVGO,,
5E9.F,925.0,6.8308742346461795
BMBL,313.0,5.749392985908253
BFLY,530.0,6.274762021241939
BZFD,696.0,6.546785410760524
AI,228.0,5.43372200355424
C,300.0,5.707110264748875
COF,,
CDLX,212.0,5.3612921657094255
CVNA,1600.0,7.3783837129967145
CTM.ST,,
CZOOF,2000.0,7.601402334583733
CLBT,410.0,6.018593214496234
IPSC,560.0,6.329720905522696
CHPT,1400.0,7.244941546337007
CHGG,227.0,5.429345628954441
CHWY,451.0,6.113682179832232
CMPR,300.0,5.707110264748875
CINT,17.0,2.8903717578961645
CSCO,2.0,1.0986122886681098
NET,332.0,5.808142489980444
CDXS,162.0,5.093750200806762
CGNT,,
COHR,,
COIN,549.0,6.309918278226516
COMP,1600.0,7.3783837129967145
8QR.DU,455.0,6.1224928095143865
CFRXQ,380.0,5.942799375126701
CORZ,169.0,5.135798437050262
COUR,458.0,6.129050210060545
CRTO,61.0,4.127134385045092
CRWD,1200.0,7.0909098220799835
LAW,233.0,5.455321115357702
CUE,999.0,6.907755278982137
HLTHQ,899.0,6.802394763324311
CYRNQ,161.0,5.087596335232384
DTOL.TO,168.0,5.1298987149230735
DAY,40.0,3.713572066704308
DVRG,20.0,3.044522437723423
DH,,
ROO,1700.0,7.438971592395862
DHER.DE,8300.0,9.024131268455035
DELL,,
DM,811.0,6.699500340161678
DHX,,
DMRC,105.0,4.663439094112067
DOCN,491.0,6.198478716492308
DOCU,536.0,6.285998094508865
0442.HK,679.0,6.522092798170152
DOMO,689.0,6.536691597591305
DASH,2500.0,7.824445930877619
DOCS,82.0,4.418840607796598
DKNG,719.0,6.579251212010101
DBX,1700.0,7.438971592395862
EBAY,1200.0,7.0909098220799835
EGIO,462.0,6.137727054086234
EDIT,656.0,6.48768401848461
ESTC,162.0,5.093750200806762
EA,2.0,1.0986122886681098
ET,317.0,5.762051382780177
7760.TWO,310.0,5.739792912179234
ENVX,516.0,6.248042874508429
ENPH,116.0,4.762173934797756
EQRX,1900.0,7.550135342488429
ERIC,663.0,6.498282149476434
ETSY,97.0,4.584967478670572
EVB,,
EB4.MU,557.0,6.324358962381311
EVBG,476.0,6.1675164908883415
EVER,53.0,3.9889840465642745
EVGO,400.0,5.993961427306569
EXPE,3300.0,8.101980731853192
FFIV,,
FSLY,219.0,5.393627546352362
FATE,1200.0,7.0909098220799835
F,1700.0,7.438971592395862
FIVN,862.0,6.760414691083428
FVRR,111.0,4.718498871295094
FLYW,263.0,5.575949103146316
FORM,15.0,2.772588722239781
FTNT,89.0,4.499809670330265
CRGO,118.0,4.77912349311153
