company_fyi,ticker,confidence,status,period,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,ticker_edgar,ticker_yfinance,yf_name,cik,ai_mentioned,ai_evidence,listing_region,benchmark_index,event_study_usable,exclusion_reason
Redbubble,,NONE,DELISTED,post_genai,2023-01-18,,,14%,Retail,Australia,https://www.afr.com/companies/retail/redbubble-makes-14pc-of-staff-redundant-20230118-p5cdeh,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Proterra,,NONE,DELISTED,post_genai,2023-01-19,,300.0,,Transportation,United States,https://news.yahoo.com/proterra-cut-jobs-merge-electric-232932585.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Innovid,,NONE,DELISTED,post_genai,2023-01-23,2023-01-23,40.0,10%,Marketing,United States,https://www.marketwatch.com/amp/story/innovid-will-cut-10-of-jobs-01674512868,EDGAR_exact,,,,1835378.0,0,,UNKNOWN,^GSPC,False,
Vacasa,,NONE,DELISTED,post_genai,2023-01-24,,1300.0,17%,Travel,United States,https://www.oregonlive.com/business/2023/01/vacasa-will-lay-off-1300-we-need-to-reduce-our-costs.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
BM Technologies,,NONE,DELISTED,post_genai,2023-01-30,2021-05-17,,25%,Finance,United States,https://ir.bmtxinc.com/news/news-details/2023/BM-Technologies-Inc.-Announces-Profit-Enhancement-Plan-and-Changes-to-Management-and-Directors/default.aspx,EDGAR_exact,,,,1725872.0,0,,UNKNOWN,^GSPC,False,
Nubank,,NONE,DELISTED,post_genai,2023-01-31,,40.0,,Finance,Brazil,https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2023/01/31/nubank-demite-40-pessoas-e-fecha-rea-de-assessoria-de-investimentos.ghtml,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
National Instruments,,NONE,DELISTED,post_genai,2023-01-31,2020-05-01,,4%,Hardware,United States,https://www.cmlviz.com/stocks/NATI/news/b/2023/01/31/national-instruments-corp-expected-to-reduce-ni-s-worldwide-headcount-by-approximately-4-during-2023,EDGAR_exact,,,,935494.0,0,,UNKNOWN,^GSPC,False,
OpenText,,NONE,DELISTED,post_genai,2023-01-31,,,8%,Data,Canada,https://www.crn.com/news/security/layoffs-ahead-as-opentext-closes-5-8b-micro-focus-buy,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Splunk,,NONE,DELISTED,post_genai,2023-02-01,,325.0,4%,Data,United States,https://www.marketwatch.com/story/splunk-to-lay-off-4-of-its-staff-in-latest-sign-of-software-cutbacks-11675260328,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Appgate,,NONE,DELISTED,post_genai,2023-02-01,,34.0,8%,Security,United States,https://seekingalpha.com/filing/7197018,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Frequency Therapeutics,,NONE,DELISTED,post_genai,2023-02-01,,,50%,Healthcare,United States,https://www.bizjournals.com/boston/news/2023/02/13/frequency-therapeutics-layoffs-2023.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
MariaDB,,NONE,DELISTED,post_genai,2023-02-01,,,8%,Data,Finland,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001929589/ec0bacf5-b734-418a-abde-4fe0b21d43d8.pdf,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
SecureWorks,,NONE,DELISTED,post_genai,2023-02-07,,212.0,9%,Security,United States,https://www.marketwatch.com/story/secureworks-to-cut-9-of-its-workforce-as-layoffs-could-affect-more-than-200-employees-01675779796,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Openpay,,NONE,DELISTED,post_genai,2023-02-07,,83.0,100%,Finance,Australia,https://www.9news.com.au/finance/openpay-buy-now-pay-later-collapses-asx-listed-company/1fd1c0d8-4215-4e64-a9ed-9381e0d3f1a5,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Deliveroo,,NONE,DELISTED,post_genai,2023-02-09,,350.0,9%,Food,United Kingdom,https://news.sky.com/story/deliveroo-to-cut-hundreds-of-jobs-globally-and-uk-to-be-worst-hit-12806890,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Titan Medical,,NONE,DELISTED,post_genai,2023-02-10,,48.0,72%,Healthcare,Canada,https://www.fiercebiotech.com/medtech/titan-medical-lays-70-staff-search-buyer-comes-short,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
SurveyMonkey,,NONE,DELISTED,post_genai,2023-02-15,,,14%,Marketing,United States,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001739936/b9e6bc4a-1447-4316-be95-a69aca1214cb.pdf,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Smartsheet,,NONE,DELISTED,post_genai,2023-02-16,,85.0,3%,Other,United States,https://www.bizjournals.com/seattle/news/2023/02/16/smartsheet-lays-off-85-employees-globally.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Lucira Health,,NONE,DELISTED,post_genai,2023-02-24,2022-11-01,26.0,,Healthcare,United States,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,EDGAR_exact,,,,1652724.0,0,,UNKNOWN,^GSPC,False,
